Pin URL,Title,Created at,Board Name,Private
https://www.pinterest.com/pin/759419555887427789/,"Title: Crisssy101's shake,",Created at: 2017/09/22 04:26:22,"Board Name: I Love DC,",Private: False
https://www.pinterest.com/pin/42573158972195908/,"Title: No data,",Created at: 2024/11/30 18:54:00,"Board Name: paintings,",Private: False
https://www.pinterest.com/pin/759419555887427790/,"Title: No data,",Created at: 2017/09/22 04:27:51,"Board Name: I Love DC,",Private: False
https://www.pinterest.com/pin/42573158968522171/,"Title: No data,",Created at: 2021/08/17 11:14:16,"Board Name: Hızlı Kaydedilenler,",Private: False
https://www.pinterest.com/pin/759419555887423305/,"Title: No data,",Created at: 2017/09/21 17:06:20,"Board Name: I Love DC,",Private: False
https://www.pinterest.com/pin/42573158972195903/,"Title: No data,",Created at: 2024/11/30 18:53:04,"Board Name: paintings,",Private: False
https://www.pinterest.com/pin/42573158972241468/,"Title: No data,",Created at: 2024/12/17 10:19:50,"Board Name: paintings,",Private: False
https://www.pinterest.com/pin/759419555887427799/,"Title: No data,",Created at: 2017/09/22 04:31:40,"Board Name: I Love DC,",Private: False
https://www.pinterest.com/pin/42573158972195914/,"Title: No data,",Created at: 2024/11/30 18:54:30,"Board Name: paintings,",Private: False
https://www.pinterest.com/pin/42573158972195899/,"Title: No data,",Created at: 2024/11/30 18:52:46,"Board Name: paintings,",Private: False
https://www.pinterest.com/pin/42573158968035781/,"Title: No data,",Created at: 2021/03/24 20:24:33,"Board Name: creation inspo,",Private: True
https://www.pinterest.com/pin/42573158968035784/,"Title: No data,",Created at: 2021/03/24 20:24:39,"Board Name: creation inspo,",Private: True
https://www.pinterest.com/pin/42573158967696820/,"Title: No data,",Created at: 2021/01/07 17:13:05,"Board Name: Fashion,",Private: True
https://www.pinterest.com/pin/42573158968035785/,"Title: No data,",Created at: 2021/03/24 20:24:42,"Board Name: creation inspo,",Private: True
https://www.pinterest.com/pin/42573158971431394/,"Title: Спасибо за ваш учебник,",Created at: 2024/03/21 11:10:27,"Board Name: design,",Private: True
https://www.pinterest.com/pin/42573158971153894/,"Title: Tortuguero,",Created at: 2023/12/23 20:24:38,"Board Name: creation inspo,",Private: True
https://www.pinterest.com/pin/42573158971431392/,"Title: No data,",Created at: 2024/03/21 11:07:00,"Board Name: design,",Private: True
https://www.pinterest.com/pin/42573158971431393/,"Title: No data,",Created at: 2024/03/21 11:09:09,"Board Name: design,",Private: True
https://www.pinterest.com/pin/42573158967695779/,"Title: No data,",Created at: 2021/01/07 06:56:41,"Board Name: drawing,",Private: True
https://www.pinterest.com/pin/42573158967695777/,"Title: No data,",Created at: 2021/01/07 06:56:23,"Board Name: drawing,",Private: True
https://www.pinterest.com/pin/42573158967695774/,"Title: No data,",Created at: 2021/01/07 06:56:14,"Board Name: drawing,",Private: True
https://www.pinterest.com/pin/42573158967695773/,"Title: Mini Abstract Pattern Canvas | Etsy 46+ Simple Canvas Paintings Trippy 2020,",Created at: 2021/01/07 06:56:05,"Board Name: drawing,",Private: True
https://www.pinterest.com/pin/42573158968532457/,"Title: Monochrome Outfits,",Created at: 2021/08/20 15:18:25,"Board Name: Fashion,",Private: True
https://www.pinterest.com/pin/42573158967826833/,"Title: No data,",Created at: 2021/02/04 20:08:14,"Board Name: creation inspo,",Private: True
https://www.pinterest.com/pin/42573158967695760/,"Title: Fresh 2021 Nail Trends,",Created at: 2021/01/07 06:53:14,"Board Name: nails,",Private: True
https://www.pinterest.com/pin/42573158971431390/,"Title: ✧,",Created at: 2024/03/21 11:06:21,"Board Name: design,",Private: True
